Files already downloaded and verified
torch.Size([1024, 3, 32, 32]) torch.Size([1024])
--------------------------------------------------------------------------------
validating pair distance...
--------------------------------------------------------------------------------

step: 390, attack: 0.88, loss: 3.17, ce: 0.45, reg: 32.54, reg_best: 32.79  
step: 400, attack: 0.92, loss: 1.83, ce: 0.29, reg: 33.89, reg_best: 32.79  
step: 410, attack: 0.95, loss: 1.85, ce: 0.20, reg: 35.88, reg_best: 32.79  
step: 420, attack: 0.91, loss: 1.85, ce: 0.32, reg: 33.55, reg_best: 32.79  
step: 430, attack: 0.94, loss: 1.86, ce: 0.20, reg: 36.00, reg_best: 32.79  
step: 440, attack: 0.93, loss: 1.88, ce: 0.28, reg: 35.39, reg_best: 32.79  
step: 450, attack: 0.75, loss: 2.08, ce: 0.32, reg: 33.57, reg_best: 32.79  
step: 460, attack: 0.84, loss: 2.13, ce: 0.18, reg: 37.54, reg_best: 32.79  
step: 470, attack: 0.91, loss: 1.84, ce: 0.29, reg: 33.83, reg_best: 32.79  
step: 480, attack: 0.86, loss: 2.85, ce: 0.38, reg: 33.78, reg_best: 32.79  
step: 490, attack: 0.90, loss: 2.62, ce: 0.45, reg: 32.12, reg_best: 32.24  
step: 500, attack: 0.88, loss: 2.58, ce: 0.50, reg: 30.92, reg_best: 32.24  
step: 510, attack: 0.89, loss: 2.58, ce: 0.43, reg: 31.60, reg_best: 32.24  
step: 520, attack: 0.95, loss: 1.57, ce: 0.25, reg: 35.66, reg_best: 32.24  
step: 530, attack: 0.91, loss: 1.55, ce: 0.32, reg: 33.57, reg_best: 32.24  
step: 540, attack: 0.93, loss: 1.53, ce: 0.23, reg: 35.01, reg_best: 32.24  
step: 550, attack: 0.90, loss: 2.22, ce: 0.38, reg: 32.81, reg_best: 32.24  
step: 560, attack: 0.91, loss: 2.21, ce: 0.30, reg: 33.90, reg_best: 32.24  
step: 570, attack: 0.90, loss: 2.18, ce: 0.43, reg: 31.66, reg_best: 32.24  
step: 580, attack: 0.86, loss: 2.63, ce: 0.33, reg: 34.37, reg_best: 32.24  
step: 590, attack: 0.91, loss: 2.18, ce: 0.41, reg: 32.09, reg_best: 32.09  
step: 600, attack: 0.83, loss: 2.28, ce: 0.41, reg: 31.97, reg_best: 32.09  
step: 610, attack: 0.94, loss: 2.16, ce: 0.35, reg: 32.69, reg_best: 32.09  
step: 620, attack: 0.84, loss: 2.23, ce: 0.40, reg: 32.07, reg_best: 32.09  
step: 630, attack: 0.94, loss: 2.25, ce: 0.25, reg: 35.57, reg_best: 32.09  
step: 640, attack: 0.92, loss: 2.18, ce: 0.31, reg: 33.49, reg_best: 32.09  
step: 650, attack: 0.83, loss: 2.54, ce: 0.40, reg: 31.99, reg_best: 32.09  
step: 660, attack: 0.84, loss: 2.32, ce: 0.37, reg: 32.63, reg_best: 32.09  
